comments,label
"Son lỏng, dễ tán 
Màu đỏ đất dễ dùng, đánh lòng môi siêu xinh❤️❤️",0
"Son chuẩn auth, thơm, chất son tốt lắm ạ.",0
Dùng được cơ mà khi đặt thì có quà. Khi nhận không có gì,1
Màu đẹp. Đánh mềm môi,0
Sp tốt thoa lên siêu mịn môi e vừa đặt thêm cây nữa ạ hehe,0
Hang ok,0
Màu đánh lên đẹp ,0
Mình lần đầu tiên mua son Bbia. Thật may mắn là Bbia có mall trên shopee nên mình cũng an tâm. Điểm khác trên thân son là có dán thêm tem chống hàng giả 😂 Rất cẩn thận luôn,0
Son đẹp. Hy vọng son lì vì mình mua khá nhiều loại này nhưng có bị một số thỏi k lì chút nào,0
"Giao hàng nhanh 
Sản phẩn sieu okkk 
Màu cực đẹp 
Rất đáng tiền luonnnn ",0
Đáng mua nha m.n,0
Kèm box xinh quá trời 😍😍😍😍 giao hàng nhanh đóng gói rất cẩn thận 😍😍😍😍😍😍,0
Son #02 hơi đỏ hơn trong hình nhưng vẫn ok ,2
"Son siêu siêu xinh luôn, màu đẹp lại có mùi thơm nữa chứ, yêu yêu❤️❤️",0
Vỏ siêu đẹp. Son lên màu k đc đậm như hình mà thiên về đỏ cam sáng hơn.,0
"Son mềm mịn môi , mùi thơm ,giao hàng nhanh,son lên môi đẹp ,sẽ ủng hộ nhiều lần nữa",0
Màu son không chê vào đâu được. Dùng trên mặt mộc được nun. Son bám rất lâu,0
"Son lên màu đẹp, bám khá tốt nhưng mà mình bị ghét cái mùi của nó",0
"Son mã màu 01, màu hồng nhẹ nhàng. Đánh lên môi rất mượt. Độ bám tốt, lần đầu dùng son rất thích",0
"Rất tin tưởng shop, son đẹp chất lượng, đã mua lần 3 à nha dùng bao đẹp nha mn ",0
Son lên màu đẹp. Sang xịn mịn. Đóng gói chắc chắn. Rất đáng tiền,0
"Shop giao hàng nhanh thích lắm ạ đóng gói kỹ
Có cả giấy cảm ơn
Son chính hãng chất mịn thích lắm",0
Shop đóng gói hàng xinh với lại phải nói là version 5 lần này màu nào cũng cực kì đẹp ❤❤❤,0
Mk có mua màu a24 và a02 theo mk thì a24 khá là đẹp a02 thì đánh lên chói hơn mình tưởng tượng k hợp mk lắm.,2
