,comments,label
0,Màu son đánh nhạt lên môi mình gần gần giống hồng cánh sen :( Tạm dùng được  :(,2.0
1,"Gói hàng cẩn thận, hastag dễ thương , son chính hãng. Sẽ ủng hộ shop dài dài🥰",0.0
2,"Son mịn, màu đỏ nâu hơi trầm xíu nhưng rất đẹp, k trang diem danh van dep nhe, giao hang hoi lau",0.0
3,"Son đẹp oke ,shop.đóng gói siêu cẩn thận nhaa,giao hàngnhanh",0.0
4,Son đẹp lắm nha. Mn nên mua,0.0
5,"Mua lúc flashsale 119k, màu đỏ thuần, công nhận son này bám môi hơn black rouge nhìu",0.0
6,Son đẹp đóng gói chắc chắn . Chuẩn bị hàng lâu nhưng khi chuẩn bị rồi thì bên giao hàng rất nhanh ,0.0
7,"Son lỳ, bám màu tốt",0.0
8,Son hịn đánh đẹp mình sẽ mua thêm,0.0
9,Giao hàng siu nhanh anh shipper dễ thương chất son của bbia thì khỏi phải nói siu mịn siêu mướt màu o4 này phù hợp với máy bạn hs nè do máy ảnh mình màu k đẹp nên lên hình vậy thoii nói chung là khuyên máy bạn nên mua :>>là£,0.0
10,Sản phẩm rất đẹp nhưng thái độ giao hàng không được vui,0.0
11,"Đóng gói cẩn thận , test màu thấy rất OK ạ. Sẽ ủng hộ Merzy ạ",0.0
12,Đóng gói cẩn thận. Màu son đẹp. Rất ưng ý.,0.0
13,Chất son rất mịn và thơm. Lâu trôi và giao hàng rất nhanh sẽ ủng hộ shop dài,0.0
14,"Giao hàng nhanh,đóng gói kĩ,chỉ là màu trên mạng hơi khác khi mua về",0.0
15,"Khá là ưng ý, màu son đẹp, sẽ tiếp tục ủng hộ shop",0.0
16,Giao hàng siêu nhanh ạ còn chất lượng thì chưa kiểm chứng,0.0
17,"Chất lượng sản phẩm tuyệt vời, đóng gói cẩn thận. Son này mình yêu thích",0.0
18,Son đóng góp rất đẹp và cẩn thận. Hàng shopee mall nên mình cực kì yên tâm ạ,0.0
19,"Chờ thì lâu khoảng cách từ Hà Nội Vĩnh yên cũng không nói là quá xa, đặt 4/8 thì 11/8 mới nhận được, nhận được thì nghĩ chừng son cũng đẹp nhưng màu kinda thì mình không nghĩ vậy :)) thật sự tiếc .",1.0
20,"Son màu rất xinh, thích hợp dùng hằng ngày. Đóng gói hộp đẹp dã man. Nhìn thích mê",0.0
21,Vẫn ưng như lần trước,0.0
22,"Shop giao hàng rất nhanh, phục vụ tốt. Shop đóng gói cẩn thận. Son lên màu rất chuẩn",0.0
23,Sản phẩm chẳng có gì để chê. Hoàn toàn ưng ý. Có điều màu này không hợp với mình nên chỉ biết để thế thôi. Hix. Mình cũng đặt 2 thỏi mà các bạn có quà mình ko có thật buồn a,1.0
24,"Sản phẩm tốt, khá mềm môi. Giao hàng khá nhanh. Nói chung là nên mua. ",0.0
25,"Shop đóng gói sản phẩm rất đẹp , giao hàng nhanh , nhân viên giao hàng nhanh nhiệt tình",0.0
26,Giao đúng màu đúng mẫu. Gói hàng chắc chắn với cả giao hàng nhanh lắm luôn.,0.0
27,good good ddddddddddđddddddddddddddddddddddddddddddd,0.0
28,"Son xinh lắm nè, mua chủ yếu là thích cái vỏ son 😂 nhưng chất son cũng ok, màu ổn, son lì. Cho shop 5* nehhh ",0.0
29,"Trời ơi vừa rẻ vừa xịn sò dã man ấy, chất son thì khỏi bàn vừa mềm môi vừa thơm như kẹo ấy, phấn mắt thì ôi thôi đẹp lung linh, mn nên mua ở đây nha",0.0
30,Mình không ngờ là son nhanh trôi đến z. Ăn vài món là trôi hết trong lòng môi lun. Chán,1.0
32,Con bạn nó bảo mày lên đây vote thẳng 10 sao cho t 😆,0.0
33,Very good,0.0
34,"đóng gói chắc chắn, son có mùi thơm nhẹ, màu lên rất xinh,rất hài lòng",0.0
35,"Giao hàng nhanh đóng gói kĩ , mình mua k biết bAo nhiêu cây son o đây rồi, son mịn k khô môi qá",0.0
36,son chưa mở đã bị gãy đầu rồi chán thiệt màu son không đẹp,1.0
37,Có lẻ do rẻ nên mình cũng không mong hơn về chất lượng lắm. Son có mùi thơm tuy nhiên về tác dụng dưỡng ẩm thì không tốt lắm,2.0
38,Chất lượng ok nhưng sp như đùa nhau z,1.0
39,"Đẹp quá là đẹp luôn ạ 
shop gói hàng cẩn thận và siêu xinh ạ 
chính hãng 1000000% luôb",0.0
