,words,
son,10056,
màu,8090,
hàng,5712,
đẹp,5329,
giao,3778,
rất,3658,
shop,3356,
gói,3236,
không,3168,
chất,3094,
mua,3047,
lên,3013,
nhanh,2849,
mình,2846,
môi,2760,
đóng,2690,
nhưng,2317,
có,2205,
là,2007,
và,1921,
lắm,1868,
thì,1808,
nên,1655,
sản,1632,
xinh,1620,
phẩm,1607,
luôn,1504,
hơi,1468,
mà,1447,
được,1368,
mịn,1347,
như,1343,
đánh,1324,
lần,1319,
lâu,1308,
siêu,1287,
cũng,1251,
lượng,1246,
thận,1238,
thơm,1236,
mùi,1231,
cẩn,1223,
sẽ,1223,
thích,1188,
chắc,1174,
này,1174,
ạ,1154,
ưng,1151,
bị,1116,
lại,1087,
quá,1068,
dùng,1017,
khô,1014,
k,1000,không
ko,1000,không
lì,984,
chắn,953,
rồi,948,
trôi,937,
khá,929,
đã,918,
chuẩn,899,
hộ,897,
nữa,892,
tốt,892,
ủng,875,
thấy,875,
còn,866,
nhiều,847,
1,845,
với,844,
hồng,838,
cực,835,
giá,831,
cây,815,
hơn,810,
ok,798,
của,796,
nhận,725,
ra,706,
cho,697,
mềm,696,
hộp,696,
2,688,
vẫn,662,
cam,653,
đỏ,649,
nha,644,
chưa,626,
mới,621,
nói,621,
đúng,617,
khi,596,
tặng,596,
cảm,587,
nào,569,
dễ,567,
nhẹ,563,
vỏ,551,
hợp,546,
sao,545,
về,542,
đặt,531,
phải,521,
vì,520,
da,502,
hết,495,
3,495,
giống,485,
hình,474,
sau,473,
lòng,473,
ý,472,
để,469,
❤,468,
tuyệt,466,
cả,462,
thỏi,462,
đc,460,
vọng,458,
dài,438,
chung,436,
ở,426,
tiền,424,
ăn,420,
biết,418,
nhìn,417,
trong,412,
tiếp,411,
thứ,408,
thất,406,
vời,406,
cái,397,
hãng,391,
bám,391,
bạn,391,
bia,385,
nhé,384,
khác,378,
hài,369,
chỉ,365,
đáng,360,
trên,353,
chính,344,
kĩ,336,
làm,336,
thêm,335,
gian,331,
ổn,331,
gì,330,
đầu,330,
thời,327,
thử,327,
ảnh,326,
ơn,324,
trước,320,
mướt,317,
25,314,
5,309,
người,309,
tâm,302,
bao,299,
mọi,292,
các,290,
😍,286,
thôi,284,
lúc,280,
vậy,280,
đi,278,
đây,277,
một,276,
ngày,276,
thật,272,
tem,271,
sp,269,sản phẩm
tin,269,
sự,268,
em,268,
yêu,266,
hay,265,
rẻ,263,
khó,259,
bên,258,
đến,258,
độ,250,
mã,250,
kì,249,
tay,249,
quà,249,
sale,242,
chút,238,
so,238,
nó,236,
lớp,232,
ngoài,229,
xịn,229,
nhiên,229,
dính,229,
chịu,228,
đều,227,
yên,225,
dụng,219,
kèm,215,
từ,215,
ship,213,
khỏi,211,
đậm,211,
vào,210,
dưỡng,210,
mượt,208,
do,208,
mal,207,mall
chứ,207,
base,203,
vừa,203,
tuy,202,
đất,201,
uống,200,
bàn,200,
xài,199,
sáng,199,
12,198,
hôm,197,
mỗi,197,
tục,196,
giờ,194,
dù,191,
mấy,190,
sử,187,
vụ,186,
thế,185,
tươi,184,
xong,180,
thương,180,
️,178,
giác,176,
r,174,rồi
nhất,174,
chậm,174,
phục,171,
tưởng,170,
mở,169,
nhạt,169,
check,169,
lỏng,168,
á,165,
mãi,163,
sang,162,
chống,161,
đâu,161,
nhắn,160,
chê,159,
trả,159,
kỹ,159,
cùng,157,
kiểu,157,
mk,156,mình 
tình,155,
bọc,154,
lun,154,
trang,154,
test,153,
👍,153,
4,152,
